Txn Id;Local timestamp;Type;Result;Product;Serial Number;Device Id;Device Commission Code;Business Id;Business Name;Business Commission Code;Amount;EAN;Retailer Margin Rate;Retailer Margin (Inc. Tax);Supplier Margin Rate;Supplier Margin (Inc. Tax);Transaction Margin Flat Fee;Channel Margin Rate;Channel Margin (Inc. Tax);Flixbus Service Fee;Retailer Margin manual calculation;Supplier Margin manual calculation;Channel Margin manual calculation
TTTA20779817824;2024-08-15T14:13:27.711;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186721150;119962;top2551703;107992;Meisail;25517;67.98;2338828000001;5.000%;3.399;7.000%;4.759;0.020;0.500%;0.340;0.99;3.399;4.759;0.340
TTTA20779872969;2024-08-15T16:49:54.119;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186763522;119960;top2551701;107992;Meisail;25517;97.98;2338828000001;5.000%;4.899;7.000%;6.859;0.020;0.500%;0.490;0.99;4.899;6.859;0.490
TTTA20779892496;2024-08-15T17:38:58.736;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186776056;119962;top2551703;107992;Meisail;25517;68.70;2338828000001;5.000%;3.435;7.000%;4.809;0.020;0.500%;0.344;0.99;3.435;4.809;0.344
TTTA20780018966;2024-08-16T08:19:06.363;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186908213;122009;top1644703;92570;Lesjak;16447;45.99;2338828000001;5.000%;2.300;7.000%;3.219;0.020;0.500%;0.230;0.99;2.300;3.219;0.230
TTTA20780071379;2024-08-16T10:11:09.462;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186929038;104978;top2436601;97630;Haupt;24366;46.00;2338828000001;5.000%;2.300;7.000%;3.220;0.020;0.500%;0.230;0.99;2.300;3.220;0.230
TTTA20780079448;2024-08-16T10:27:14.707;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186932600;99225;cwl2283002;91208;Schwarzinger;22830;94.50;2338828000001;5.000%;4.725;7.000%;6.615;0.020;0.500%;0.473;0.99;4.725;6.615;0.473
TTTA20780094520;2024-08-16T10:55:35.725;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186939838;104978;top2436601;97630;Haupt;24366;131.98;2338828000001;5.000%;6.599;7.000%;9.239;0.020;0.500%;0.660;0.99;6.599;9.239;0.660
TTTA20780146726;2024-08-16T12:44:32.836;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3186970850;119960;top2551701;107992;Meisail;25517;71.99;2338828000001;5.000%;3.600;7.000%;5.039;0.020;0.500%;0.360;0.99;3.600;5.039;0.360
TTTA20780511564;2024-08-17T11:33:31.770;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187216888;100374;top1627401;91589;Kerschbaummayr;16274;18.99;2338828000001;5.000%;0.950;7.000%;1.329;0.020;0.500%;0.095;0.99;0.950;1.329;0.095
TTTA20780783528;2024-08-18T10:20:37.771;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187432742;119960;top2551701;107992;Meisail;25517;48.98;2338828000001;5.000%;2.449;7.000%;3.429;0.020;0.500%;0.245;0.99;2.449;3.429;0.245
TTTA20780783536;2024-08-18T10:20:41.395;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187432756;119960;top2551701;107992;Meisail;25517;41.98;2338828000001;5.000%;2.099;7.000%;2.939;0.020;0.500%;0.210;0.99;2.099;2.939;0.210
TTTA20780792198;2024-08-18T11:00:53.717;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187441321;119960;top2551701;107992;Meisail;25517;22.99;2338828000001;5.000%;1.150;7.000%;1.609;0.020;0.500%;0.115;0.99;1.150;1.609;0.115
TTTA20780846028;2024-08-18T14:35:38.230;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187491169;99225;cwl2283002;91208;Schwarzinger;22830;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20780846036;2024-08-18T14:35:41.762;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187491173;99225;cwl2283002;91208;Schwarzinger;22830;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20780846044;2024-08-18T14:35:45.235;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187491188;99225;cwl2283002;91208;Schwarzinger;22830;26.00;2338828000001;5.000%;1.300;7.000%;1.820;0.020;0.500%;0.130;0.99;1.300;1.820;0.130
TTTA20780846077;2024-08-18T14:35:48.598;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187491204;99225;cwl2283002;91208;Schwarzinger;22830;26.00;2338828000001;5.000%;1.300;7.000%;1.820;0.020;0.500%;0.130;0.99;1.300;1.820;0.130
TTTA20780925863;2024-08-18T19:38:30.183;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187563832;99225;cwl2283002;91208;Schwarzinger;22830;26.99;2338828000001;5.000%;1.350;7.000%;1.889;0.020;0.500%;0.135;0.99;1.350;1.889;0.135
TTTA20780990453;2024-08-19T07:18:35.824;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187651935;120336;top2560902;108180;Schwab;25609;14.00;2338828000001;5.000%;0.700;7.000%;0.980;0.020;0.500%;0.070;0.99;0.700;0.980;0.070
TTTA20781100458;2024-08-19T11:21:26.808;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187695940;99225;cwl2283002;91208;Schwarzinger;22830;95.99;2338828000001;5.000%;4.800;7.000%;6.719;0.020;0.500%;0.480;0.99;4.800;6.719;0.480
TTTA20781106547;2024-08-19T11:31:55.749;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187698565;122007;top1644701;92570;Lesjak;16447;16.99;2338828000001;5.000%;0.850;7.000%;1.189;0.020;0.500%;0.085;0.99;0.850;1.189;0.085
TTTA20781173471;2024-08-19T13:38:42.108;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187733605;119345;top2527101;107274;Eckl;25271;37.99;2338828000001;5.000%;1.900;7.000%;2.659;0.020;0.500%;0.190;0.99;1.900;2.659;0.190
TTTA20781173554;2024-08-19T13:38:47.644;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187733632;119345;top2527101;107274;Eckl;25271;30.99;2338828000001;5.000%;1.550;7.000%;2.169;0.020;0.500%;0.155;0.99;1.550;2.169;0.155
TTTA20781185004;2024-08-19T14:02:46.555;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187740123;101340;top2366802;96503;Egger;23668;66.48;2338828000001;5.000%;3.324;7.000%;4.654;0.020;0.500%;0.332;0.99;3.324;4.654;0.332
TTTA20781293873;2024-08-19T16:56:54.434;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187789662;100436;top1659001;92881;Krenn;16590;18.00;2338828000001;5.000%;0.900;7.000%;1.260;0.020;0.500%;0.090;0.99;0.900;1.260;0.090
TTTA20781401799;2024-08-19T20:47:08.934;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3187852778;119962;top2551703;107992;Meisail;25517;102.99;2338828000001;5.000%;5.150;7.000%;7.209;0.020;0.500%;0.515;0.99;5.150;7.209;0.515
TTTA20781660196;2024-08-20T14:36:22.782;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188025805;103472;top2331302;91298;Greger;23313;24.99;2338828000001;5.000%;1.250;7.000%;1.749;0.020;0.500%;0.125;0.99;1.250;1.749;0.125
TTTA20781696844;2024-08-20T15:37:22.609;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188042528;99224;cwl2283001;91208;Schwarzinger;22830;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20781729249;2024-08-20T16:26:58.431;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188055767;100847;top2154301;91120;Prem-Pillichshammer;21543;65.99;2338828000001;5.000%;3.300;7.000%;4.619;0.020;0.500%;0.330;0.99;3.300;4.619;0.330
TTTA20781989074;2024-08-21T10:13:00.979;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188223934;100453;top1663302;93168;Wahlmüller;16633;32.99;2338828000001;5.000%;1.650;7.000%;2.309;0.020;0.500%;0.165;0.99;1.650;2.309;0.165
TTTA20782012520;2024-08-21T10:58:55.692;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188234704;99893;top1197201;90034;Huberts;11972;33.00;2338828000001;5.000%;1.650;7.000%;2.310;0.020;0.500%;0.165;0.99;1.650;2.310;0.165
TTTA20782026819;2024-08-21T11:25:44.802;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188242354;100436;top1659001;92881;Krenn;16590;18.00;2338828000001;5.000%;0.900;7.000%;1.260;0.020;0.500%;0.090;0.99;0.900;1.260;0.090
TTTA20782029441;2024-08-21T11:30:05.946;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188243405;100436;top1659001;92881;Krenn;16590;18.00;2338828000001;5.000%;0.900;7.000%;1.260;0.020;0.500%;0.090;0.99;0.900;1.260;0.090
TTTA20782076335;2024-08-21T12:52:36.682;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188264576;99618;pos1573201;91808;Graf;15732;159.98;2338828000001;5.000%;7.999;7.000%;11.199;0.020;0.500%;0.800;0.99;7.999;11.199;0.800
TTTA20782107981;2024-08-21T13:52:50.291;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188279362;100721;top2066101;92638;Akbari;20661;46.99;2338828000001;5.000%;2.350;7.000%;3.289;0.020;0.500%;0.235;0.99;2.350;3.289;0.235
TTTA20782108039;2024-08-21T13:52:53.836;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188279379;100721;top2066101;92638;Akbari;20661;29.99;2338828000001;5.000%;1.500;7.000%;2.099;0.020;0.500%;0.150;0.99;1.500;2.099;0.150
TTTA20782180616;2024-08-21T15:51:19.212;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188309192;100953;top2212801;91670;Wagner;22128;40.98;2338828000001;5.000%;2.049;7.000%;2.869;0.020;0.500%;0.205;0.99;2.049;2.869;0.205
TTTA20782220263;2024-08-21T16:45:03.223;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188323118;122007;top1644701;92570;Lesjak;16447;69.98;2338828000001;5.000%;3.499;7.000%;4.899;0.020;0.500%;0.350;0.99;3.499;4.899;0.350
TTTA20782702179;2024-08-22T16:47:56.724;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188590795;110374;cwl2478301;100066;Rosar;24783;39.98;2338828000001;5.000%;1.999;7.000%;2.799;0.020;0.500%;0.200;0.99;1.999;2.799;0.200
TTTA20782899207;2024-08-23T08:00:05.004;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188733587;99225;cwl2283002;91208;Schwarzinger;22830;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
TTTA20783038524;2024-08-23T11:58:32.193;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188789107;110949;top2493001;100254;David;24930;156.98;2338828000001;5.000%;7.849;7.000%;10.989;0.020;0.500%;0.785;0.99;7.849;10.989;0.785
TTTA20783074826;2024-08-23T12:57:05.872;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3188805816;100485;top1856001;90070;Fischer;18560;97.99;2338828000001;5.000%;4.900;7.000%;6.859;0.020;0.500%;0.490;0.99;4.900;6.859;0.490
TTTA20783077688;2024-08-23T13:01:58.148;REFUND;SUCCESSFUL;Flixbus Fahrkarte;3188805816;100485;top1856001;90070;Fischer;18560;-97.99;2338828000001;5.000%;-4.900;7.000%;-6.859;-0.020;0.500%;-0.490;0.0;-4.900;-6.859;-0.490
TTTA20783607500;2024-08-24T12:13:11.116;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189053266;100847;top2154301;91120;Prem-Pillichshammer;21543;33.99;2338828000001;5.000%;1.700;7.000%;2.379;0.020;0.500%;0.170;0.99;1.700;2.379;0.170
TTTA20783794373;2024-08-24T17:26:43.274;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189123206;104110;bdm2391401;97494;Wasinger;23914;72.98;2338828000001;5.000%;3.649;7.000%;5.109;0.020;0.500%;0.365;0.99;3.649;5.109;0.365
TTTA20783942089;2024-08-25T08:59:42.596;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189241397;99225;cwl2283002;91208;Schwarzinger;22830;139.98;2338828000001;5.000%;6.999;7.000%;9.799;0.020;0.500%;0.700;0.99;6.999;9.799;0.700
TTTA20784070062;2024-08-25T15:06:50.531;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189317357;99225;cwl2283002;91208;Schwarzinger;22830;27.00;2338828000001;5.000%;1.350;7.000%;1.890;0.020;0.500%;0.135;0.99;1.350;1.890;0.135
TTTA20784545162;2024-08-26T15:41:49.962;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189592206;119962;top2551703;107992;Meisail;25517;69.98;2338828000001;5.000%;3.499;7.000%;4.899;0.020;0.500%;0.350;0.99;3.499;4.899;0.350
TTTA20784546079;2024-08-26T15:43:18.113;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189592710;101044;top2257201;93090;Gehring;22572;34.99;2338828000001;5.000%;1.750;7.000%;2.449;0.020;0.500%;0.175;0.99;1.750;2.449;0.175
TTTA20785002981;2024-08-27T13:46:55.681;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189825488;119960;top2551701;107992;Meisail;25517;52.99;2338828000001;5.000%;2.650;7.000%;3.709;0.020;0.500%;0.265;0.99;2.650;3.709;0.265
TTTA20785058371;2024-08-27T15:16:04.283;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189848635;100019;top1394401;91365;Just-Scheiber;13944;50.48;2338828000001;5.000%;2.524;7.000%;3.534;0.020;0.500%;0.252;0.99;2.524;3.534;0.252
TTTA20785254426;2024-08-27T20:20:32.133;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3189930352;104110;bdm2391401;97494;Wasinger;23914;57.98;2338828000001;5.000%;2.899;7.000%;4.059;0.020;0.500%;0.290;0.99;2.899;4.059;0.290
TTTA20785454158;2024-08-28T11:28:24.307;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190068123;121843;bdm2569202;109464;Friedenthal;25692;91.98;2338828000001;5.000%;4.599;7.000%;6.439;0.020;0.500%;0.460;0.99;4.599;6.439;0.460
TTTA20785510363;2024-08-28T13:02:40.053;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190092279;99225;cwl2283002;91208;Schwarzinger;22830;32.99;2338828000001;5.000%;1.650;7.000%;2.309;0.020;0.500%;0.165;0.99;1.650;2.309;0.165
TTTA20785581786;2024-08-28T15:01:11.182;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190123333;100937;top2198001;92626;Gartner;21980;77.24;2338828000001;5.000%;3.862;7.000%;5.407;0.020;0.500%;0.386;0.99;3.862;5.407;0.386
TTTA20785620055;2024-08-28T15:55:46.985;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190137785;100953;top2212801;91670;Wagner;22128;12.99;2338828000001;5.000%;0.650;7.000%;0.909;0.020;0.500%;0.065;0.99;0.650;0.909;0.065
TTTA20786069518;2024-08-29T13:31:21.451;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190374270;101546;cwl2172201;91984;Brandstetter;21722;31.99;2338828000001;5.000%;1.600;7.000%;2.239;0.020;0.500%;0.160;0.99;1.600;2.239;0.160
TTTA20786092676;2024-08-29T14:11:20.086;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190384574;119735;top2548101;107883;Wagner;25481;7.49;2338828000001;5.000%;0.375;7.000%;0.524;0.020;0.500%;0.037;0.99;0.375;0.524;0.037
TTTA20786177832;2024-08-29T16:11:18.708;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190416285;119961;top2551702;107992;Meisail;25517;132.98;2338828000001;5.000%;6.649;7.000%;9.309;0.020;0.500%;0.665;0.99;6.649;9.309;0.665
TTTA20786177857;2024-08-29T16:11:22.454;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190416311;119961;top2551702;107992;Meisail;25517;132.98;2338828000001;5.000%;6.649;7.000%;9.309;0.020;0.500%;0.665;0.99;6.649;9.309;0.665
TTTA20786453951;2024-08-30T08:35:33.488;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190577153;110949;top2493001;100254;David;24930;28.49;2338828000001;5.000%;1.425;7.000%;1.994;0.020;0.500%;0.142;0.99;1.425;1.994;0.142
TTTA20786570457;2024-08-30T11:05:37.946;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190611481;100487;top1856003;90070;Fischer;18560;155.98;2338828000001;5.000%;7.799;7.000%;10.919;0.020;0.500%;0.780;0.99;7.799;10.919;0.780
TTTA20786601963;2024-08-30T11:44:14.071;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190625718;99225;cwl2283002;91208;Schwarzinger;22830;84.98;2338828000001;5.000%;4.249;7.000%;5.949;0.020;0.500%;0.425;0.99;4.249;5.949;0.425
TTTA20786953984;2024-08-30T18:56:44.172;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3190750036;99225;cwl2283002;91208;Schwarzinger;22830;23.00;2338828000001;5.000%;1.150;7.000%;1.610;0.020;0.500%;0.115;0.99;1.150;1.610;0.115
